Attaching 1 probe...
550 redis-server /proc/299/stat
1104633 node /proc/net/tcp
1104630 node /proc/net/tcp6
1342998 sh /etc/ld.so.cache
1342998 sh /lib/x86_64-linux-gnu/libc.so.6
1342999 sh /proc/
1342999 sh /proc/1/fd/
1342999 sh /proc/2/fd/
1342999 sh /proc/7/fd/
1342999 sh /proc/56/fd/
1342999 sh /proc/69/fd/
1343000 grep /etc/ld.so.cache
1342999 sh /proc/78/fd/
1342999 sh /proc/83/fd/
1342999 sh /proc/99/fd/
1342999 sh /proc/103/fd/
1342999 sh /proc/200/fd/
1343000 grep /lib/x86_64-linux-gnu/libpcre2-8.so.0
1342999 sh /proc/201/fd/
1342999 sh /proc/240/fd/
1342999 sh /proc/242/fd/
1342999 sh /proc/243/fd/
1342999 sh /proc/252/fd/
1342999 sh /proc/255/fd/
1342999 sh /proc/275/fd/
1342999 sh /proc/276/fd/
1342999 sh /proc/390/fd/
1342999 sh /proc/399/fd/
1342999 sh /proc/491/fd/
1343000 grep /lib/x86_64-linux-gnu/libc.so.6
1342999 sh /proc/492/fd/
1342999 sh /proc/506/fd/
1343000 grep /usr/lib/locale/locale-archive
1343000 grep /usr/share/locale/locale.alias
1342999 sh /proc/568/fd/
1342999 sh /proc/757/fd/
1342999 sh /proc/3500/fd/
1343000 grep /usr/lib/locale/C.UTF-8/LC_IDENTIFICATION
1342999 sh /proc/5589/fd/
1343000 grep /usr/lib/locale/C.utf8/LC_IDENTIFICATION
1342999 sh /proc/225402/fd/
1342999 sh /proc/225403/fd/
1343000 grep /usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache
1342999 sh /proc/225404/fd/
1342999 sh /proc/225407/fd/
1343000 grep /usr/lib/locale/C.UTF-8/LC_MEASUREMENT
1342999 sh /proc/225408/fd/
1343000 grep /usr/lib/locale/C.utf8/LC_MEASUREMENT
1342999 sh /proc/225419/fd/
1342999 sh /proc/227187/fd/
1343000 grep /usr/lib/locale/C.UTF-8/LC_TELEPHONE
1342999 sh /proc/247511/fd/
1343000 grep /usr/lib/locale/C.utf8/LC_TELEPHONE
1342999 sh /proc/517225/fd/
1343000 grep /usr/lib/locale/C.UTF-8/LC_ADDRESS
1342999 sh /proc/726176/fd/
1343000 grep /usr/lib/locale/C.utf8/LC_ADDRESS
1342999 sh /proc/726177/fd/
1342999 sh /proc/726178/fd/
1343000 grep /usr/lib/locale/C.UTF-8/LC_NAME
1342999 sh /proc/731827/fd/
1343000 grep /usr/lib/locale/C.utf8/LC_NAME
1342999 sh /proc/731828/fd/
1342999 sh /proc/731829/fd/
1343000 grep /usr/lib/locale/C.UTF-8/LC_PAPER
1343000 grep /usr/lib/locale/C.utf8/LC_PAPER
1342999 sh /proc/783228/fd/
1342999 sh /proc/783229/fd/
1343000 grep /usr/lib/locale/C.UTF-8/LC_MESSAGES
1343000 grep /usr/lib/locale/C.utf8/LC_MESSAGES
1343000 grep /usr/lib/locale/C.utf8/LC_MESSAGES/SYS_LC_MESSAGES
1342999 sh /proc/783234/fd/
1343000 grep /usr/lib/locale/C.UTF-8/LC_MONETARY
1343000 grep /usr/lib/locale/C.utf8/LC_MONETARY
1343000 grep /usr/lib/locale/C.UTF-8/LC_COLLATE
1343000 grep /usr/lib/locale/C.utf8/LC_COLLATE
1342999 sh /proc/783335/fd/
1342999 sh /proc/783336/fd/
1343000 grep /usr/lib/locale/C.UTF-8/LC_TIME
1342999 sh /proc/783337/fd/
1343000 grep /usr/lib/locale/C.utf8/LC_TIME
1342999 sh /proc/783338/fd/
1342999 sh /proc/783343/fd/
1343000 grep /usr/lib/locale/C.UTF-8/LC_NUMERIC
1342999 sh /proc/783347/fd/
1343000 grep /usr/lib/locale/C.utf8/LC_NUMERIC
1343000 grep /usr/lib/locale/C.UTF-8/LC_CTYPE
1343000 grep /usr/lib/locale/C.utf8/LC_CTYPE
1342999 sh /proc/783358/fd/
1342999 sh /proc/783359/fd/
1342999 sh /proc/783360/fd/
1343000 grep /proc/self/maps
1342999 sh /proc/783367/fd/
1342999 sh /proc/783368/fd/
1342999 sh /proc/783369/fd/
1342999 sh /proc/783395/fd/
1342999 sh /proc/783463/fd/
1342999 sh /proc/783476/fd/
1342999 sh /proc/783524/fd/
1342999 sh /proc/783533/fd/
1342999 sh /proc/783550/fd/
1342999 sh /proc/783552/fd/
1342999 sh /proc/783556/fd/
1342999 sh /proc/783557/fd/
1342999 sh /proc/783567/fd/
1342999 sh /proc/783632/fd/
1342999 sh /proc/783748/fd/
1342999 sh /proc/784130/fd/
1342999 sh /proc/809809/fd/
1342999 sh /proc/897156/fd/
1342999 sh /proc/897157/fd/
1342999 sh /proc/897164/fd/
1342999 sh /proc/1011791/fd/
1342999 sh /proc/1011792/fd/
1342999 sh /proc/1011793/fd/
1342999 sh /proc/1011794/fd/
1342999 sh /proc/1011795/fd/
1342999 sh /proc/1011796/fd/
1342999 sh /proc/1011797/fd/
1342999 sh /proc/1011798/fd/
1342999 sh /proc/1011799/fd/
1342999 sh /proc/1011800/fd/
1342999 sh /proc/1011801/fd/
1342999 sh /proc/1011802/fd/
1342999 sh /proc/1011803/fd/
1342999 sh /proc/1011805/fd/
1342999 sh /proc/1011806/fd/
1342999 sh /proc/1011808/fd/
1342999 sh /proc/1011809/fd/
1342999 sh /proc/1018579/fd/
1342999 sh /proc/1018604/fd/
1342999 sh /proc/1018605/fd/
1342999 sh /proc/1018770/fd/
1342999 sh /proc/1018778/fd/
1342999 sh /proc/1018779/fd/
1342999 sh /proc/1018780/fd/
1342999 sh /proc/1018790/fd/
1342999 sh /proc/1018791/fd/
1342999 sh /proc/1018792/fd/
1342999 ls /etc/ld.so.cache
1342999 ls /lib/x86_64-linux-gnu/libselinux.so.1
1342999 ls /lib/x86_64-linux-gnu/libc.so.6
